time,target,true_x,true_z,meas_x,meas_z,measurement_available,est_x,est_z
6.784,TARGET_1,-0.387014,-0.331853,-0.38708,-0.3494,True,-0.39316311011380456,-0.33329673740195526
6.848,TARGET_1,-0.385005,-0.330267,-0.391159,-0.322882,True,-0.3913696750688915,-0.3283654117524865
6.912,TARGET_1,-0.382996,-0.328681,-0.363604,-0.335222,True,-0.3793678766669601,-0.3301621531723791
6.976,TARGET_1,-0.380986,-0.327094,-0.379135,-0.333565,True,-0.3779214457303254,-0.3307016515868494
7.04,TARGET_1,-0.378977,-0.325508,,,False,-0.3757247069732171,-0.3294708190315282
7.104,TARGET_1,-0.376968,-0.323922,-0.380784,-0.307949,True,-0.3770512601575159,-0.31838734645697025
7.168,TARGET_1,-0.374958,-0.322336,-0.381606,-0.325935,True,-0.3778683002455311,-0.3206197280116831
7.232,TARGET_1,-0.372949,-0.320749,-0.381826,-0.303097,True,-0.37839628658079255,-0.312533752240504
7.296,TARGET_1,-0.37094,-0.319163,-0.369639,-0.319596,True,-0.37385887217485725,-0.3142161115861597
7.36,TARGET_1,-0.368931,-0.317577,-0.356334,-0.326005,True,-0.36576270078701445,-0.3178701885321779
7.424,TARGET_1,-0.366921,-0.31599,-0.377277,-0.31534,True,-0.3689871940321721,-0.3160126567366114
7.488,TARGET_1,-0.364912,-0.314404,-0.352206,-0.317198,True,-0.3611862736212411,-0.3156118274961085
7.552,TARGET_1,-0.362903,-0.312818,-0.348564,-0.302745,True,-0.35483400190979925,-0.3096842709582874
7.616,TARGET_1,-0.360893,-0.311232,-0.371632,-0.309329,True,-0.3599851428534973,-0.3085540416747869
7.68,TARGET_1,-0.358884,-0.309645,-0.345201,-0.313436,True,-0.35289784967296156,-0.309513488291571
7.744,TARGET_1,-0.356875,-0.308059,-0.366559,-0.320768,True,-0.3568952908139131,-0.31308195263136734
7.808,TARGET_1,-0.354865,-0.306473,-0.339504,-0.322173,True,-0.3488201757595496,-0.3159654816881981
7.872,TARGET_1,-0.352856,-0.304886,-0.34917,-0.304192,True,-0.34755792253078294,-0.3107309542050939
7.936,TARGET_1,-0.350847,-0.3033,,,False,-0.3452994361796485,-0.3095373756770823
8.0,TARGET_1,-0.348838,-0.301714,-0.33734,-0.310191,True,-0.3402726908760812,-0.3092407592313308
8.064,TARGET_1,-0.346828,-0.300128,-0.366303,-0.300104,True,-0.35008887002329236,-0.30466052444068525
8.128,TARGET_1,-0.344819,-0.298541,-0.335115,-0.305848,True,-0.34293850075222276,-0.3043579132551596
8.192,TARGET_1,-0.34281,-0.296955,-0.323253,-0.294365,True,-0.3338277037968677,-0.2995874021009679
8.256,TARGET_1,-0.3408,-0.295369,,,False,-0.3313971586061192,-0.2981159867437488
8.32,TARGET_1,-0.338791,-0.293782,-0.357722,-0.283998,True,-0.34297064134265687,-0.29048562310182646
8.384,TARGET_1,-0.336782,-0.292196,-0.354306,-0.29353,True,-0.3469039677279825,-0.2907642829529382
8.448,TARGET_1,-0.334772,-0.29061,-0.354658,-0.280868,True,-0.3492784630288561,-0.2857134387300573
8.512,TARGET_1,-0.332763,-0.289024,,,False,-0.3481342960509498,-0.2838319123453187
8.576,TARGET_1,-0.330754,-0.287437,-0.322445,-0.281548,True,-0.3349744174237697,-0.2817534037544708
8.64,TARGET_1,-0.328745,-0.285851,-0.34525,-0.305464,True,-0.3383792129152743,-0.29090133482828684
8.704,TARGET_1,-0.326735,-0.284265,-0.310867,-0.273401,True,-0.32621853274543755,-0.2829771711247515
8.768,TARGET_1,-0.324726,-0.282678,-0.330374,-0.264708,True,-0.32662283092103284,-0.27466207660175385
8.832,TARGET_1,-0.322717,-0.281092,-0.324082,-0.295683,True,-0.3244277801389868,-0.28180240105727844
8.896,TARGET_1,-0.320707,-0.279506,-0.335129,-0.273852,True,-0.32747468592600665,-0.2777388727516334
8.96,TARGET_1,-0.318698,-0.277919,-0.308579,-0.275632,True,-0.3189679617106149,-0.2759054827826557
9.024,TARGET_1,-0.316689,-0.276333,-0.299849,-0.296094,True,-0.31014463268869064,-0.28288960105037986
9.088,TARGET_1,-0.314679,-0.274747,-0.29616,-0.279567,True,-0.30312477321975995,-0.28086289555411154
9.152,TARGET_1,-0.31267,-0.273161,-0.294795,-0.259886,True,-0.29818763677814464,-0.27182160456003246
9.216,TARGET_1,-0.310661,-0.271574,-0.301904,-0.25897,True,-0.29794161081358644,-0.26572975518692554
9.28,TARGET_1,-0.308652,-0.269988,-0.295606,-0.252524,True,-0.2953890499850091,-0.25934723399224496
9.344,TARGET_1,-0.306642,-0.268402,,,False,-0.2927024218652629,-0.25718122552004236
9.408,TARGET_1,-0.304633,-0.266815,-0.313777,-0.248739,True,-0.3015535771375959,-0.2519676599480824
9.472,TARGET_1,-0.302624,-0.265229,-0.297381,-0.277552,True,-0.29859217904353474,-0.261635926254192
9.536,TARGET_1,-0.300614,-0.263643,,,False,-0.29649368458248776,-0.25996479733885114
9.6,TARGET_1,-0.298605,-0.262057,-0.28537,-0.2504,True,-0.2899181139377772,-0.25437789995491283
9.664,TARGET_1,-0.296596,-0.26047,-0.295269,-0.264574,True,-0.290910011082769,-0.257729638062035
9.728,TARGET_1,-0.294586,-0.258884,-0.288969,-0.263251,True,-0.2888395130700792,-0.25905234634985097
9.792,TARGET_1,-0.292577,-0.257298,,,False,-0.28668390844477537,-0.25761544646777446
9.856,TARGET_1,-0.290568,-0.255711,-0.294168,-0.24985,True,-0.2892499348232715,-0.2530787536867909
