time,target,true_x,true_z,meas_x,meas_z,ekf_x,ekf_z
5.888,TARGET_1,-0.415144,-0.354061,-0.421378,-0.345011,-0.4202618195567574,-0.34325475195614713
5.952,TARGET_1,-0.413135,-0.352475,-0.425624,-0.365043,-0.42461707644778734,-0.35999495120815383
6.016,TARGET_1,-0.411126,-0.350889,-0.395324,-0.34653,-0.4010618913576144,-0.349464829616151
6.08,TARGET_1,-0.409117,-0.349303,-0.394692,-0.337522,-0.39512766633249824,-0.34009798837402516
6.144,TARGET_1,-0.407107,-0.347716,-0.391103,-0.331258,-0.39098219154849934,-0.3330635580348159
6.208,TARGET_1,-0.405098,-0.34613,-0.401948,-0.360628,-0.3991628287823225,-0.3542433116828598
6.272,TARGET_1,-0.403089,-0.344544,-0.40953,-0.328468,-0.40704999219127974,-0.33447114747793544
6.336,TARGET_1,-0.401079,-0.342957,-0.407755,-0.362491,-0.40773832948767696,-0.355956595871958
6.4,TARGET_1,-0.39907,-0.341371,-0.404381,-0.343546,-0.40502369496862745,-0.34642873335914
6.464,TARGET_1,-0.397061,-0.339785,-0.382549,-0.356021,-0.3869097544959038,-0.35360967185448605
6.528,TARGET_1,-0.395051,-0.338198,-0.405371,-0.349075,-0.4011364517662001,-0.3501412495696662
6.592,TARGET_1,-0.393042,-0.336612,-0.387309,-0.3175,-0.3896925649401938,-0.3249831174979771
6.656,TARGET_1,-0.391033,-0.335026,-0.396109,-0.330935,-0.3943298653596966,-0.32948591579937886
6.72,TARGET_1,-0.389024,-0.33344,-0.409022,-0.320183,-0.4057879355183476,-0.32239681042113316
6.784,TARGET_1,-0.387014,-0.331853,-0.38708,-0.3494,-0.3910456255726937,-0.34297620713680316
6.848,TARGET_1,-0.385005,-0.330267,-0.391159,-0.322882,-0.39070032716902403,-0.32748915204505125
6.912,TARGET_1,-0.382996,-0.328681,-0.363604,-0.335222,-0.368634538930086,-0.33309971293119756
6.976,TARGET_1,-0.380986,-0.327094,-0.379135,-0.333565,-0.37614964216046315,-0.33333190702957644
7.04,TARGET_1,-0.378977,-0.325508,-0.388811,-0.340733,-0.3858686106387983,-0.33901595649279376
7.104,TARGET_1,-0.376968,-0.323922,-0.380784,-0.307949,-0.38142187904189057,-0.31510064106980634
7.168,TARGET_1,-0.374958,-0.322336,-0.381606,-0.325935,-0.38128810322608536,-0.3233358853226583
7.232,TARGET_1,-0.372949,-0.320749,-0.381826,-0.303097,-0.3812828103815599,-0.3077331116605001
7.296,TARGET_1,-0.37094,-0.319163,-0.369639,-0.319596,-0.37170518027692145,-0.31665687052430747
7.36,TARGET_1,-0.368931,-0.317577,-0.356334,-0.326005,-0.3589163736388622,-0.3235949167549172
7.424,TARGET_1,-0.366921,-0.31599,-0.377277,-0.31534,-0.37286184813516504,-0.31721063358958757
7.488,TARGET_1,-0.364912,-0.314404,-0.352206,-0.317198,-0.3560110684247257,-0.3169547127535368
7.552,TARGET_1,-0.362903,-0.312818,-0.348564,-0.302745,-0.34916605961375435,-0.3057621743022912
7.616,TARGET_1,-0.360893,-0.311232,-0.371632,-0.309329,-0.36637121307085707,-0.3084712299489556
7.68,TARGET_1,-0.358884,-0.309645,-0.345201,-0.313436,-0.3492307798283924,-0.31201350633341784
7.744,TARGET_1,-0.356875,-0.308059,-0.366559,-0.320768,-0.36259787864919185,-0.31875656512454287
7.808,TARGET_1,-0.354865,-0.306473,-0.339504,-0.322173,-0.34400023341284913,-0.3211334780884627
7.872,TARGET_1,-0.352856,-0.304886,-0.34917,-0.304192,-0.3473823332623548,-0.30798026304261444
7.936,TARGET_1,-0.350847,-0.3033,-0.362385,-0.322956,-0.359094385869827,-0.3195275931365325
8.0,TARGET_1,-0.348838,-0.301714,-0.33734,-0.310191,-0.3415601084515323,-0.31213697634411414
8.064,TARGET_1,-0.346828,-0.300128,-0.366303,-0.300104,-0.3607628618497508,-0.3029645188839905
8.128,TARGET_1,-0.344819,-0.298541,-0.335115,-0.305848,-0.3402482096259074,-0.30490121187949004
8.192,TARGET_1,-0.34281,-0.296955,-0.323253,-0.294365,-0.3259095805538032,-0.2964091826464746
8.256,TARGET_1,-0.3408,-0.295369,-0.348175,-0.288339,-0.3427289139756541,-0.2900592268313798
8.32,TARGET_1,-0.338791,-0.293782,-0.357722,-0.283998,-0.35431247389970655,-0.28543037350834666
8.384,TARGET_1,-0.336782,-0.292196,-0.354306,-0.29353,-0.3544177099662691,-0.29167832027021523
