time,target,true_x,true_z,meas_x,meas_z
4.096,TARGET_1,-0.471405,-0.398477,-0.455289,-0.398577
4.096,TARGET_2,0.484148,0.384148,0.479972,0.401279
4.160,TARGET_1,-0.469396,-0.396891,-0.476168,-0.393739
4.160,TARGET_2,0.482337,0.382337,0.486277,0.376592
4.224,TARGET_1,-0.467386,-0.395305,-0.455171,-0.404492
4.224,TARGET_2,0.480527,0.380527,0.500515,0.370883
4.288,TARGET_1,-0.465377,-0.393719,-0.478176,-0.385772
4.288,TARGET_2,0.478717,0.378717,0.485167,0.383674
4.352,TARGET_1,-0.463368,-0.392132,-0.464677,-0.396335
4.352,TARGET_2,0.476907,0.376907,0.488237,0.395746
4.416,TARGET_1,-0.461358,-0.390546,-0.471365,-0.383044
4.416,TARGET_2,0.475097,0.375097,0.481124,0.360498
4.480,TARGET_1,-0.459349,-0.388960,-0.461238,-0.408531
4.480,TARGET_2,0.473286,0.373286,0.486576,0.365095
4.544,TARGET_1,-0.457340,-0.387373,-0.462013,-0.390945
4.544,TARGET_2,0.471476,0.371476,0.482975,0.382614
4.608,TARGET_1,-0.455330,-0.385787,-0.457593,-0.404584
4.608,TARGET_2,0.469666,0.369666,0.471195,0.376465
4.672,TARGET_1,-0.453321,-0.384201,-0.456314,-0.370113
4.672,TARGET_2,0.467856,0.367856,0.470294,0.378328
4.736,TARGET_1,-0.451312,-0.382615,-0.439756,-0.383166
4.736,TARGET_2,0.466046,0.366046,0.468275,0.380849
4.800,TARGET_1,-0.449303,-0.381028,-0.435842,-0.390032
4.800,TARGET_2,0.464235,0.364235,0.454186,0.346360
4.864,TARGET_1,-0.447293,-0.379442,-0.459987,-0.379218
4.864,TARGET_2,0.462425,0.362425,0.477789,0.372860
4.928,TARGET_1,-0.445284,-0.377856,-0.448036,-0.397620
4.928,TARGET_2,0.460615,0.360615,0.463062,0.358506
4.992,TARGET_1,-0.443275,-0.376269,-0.444761,-0.360037
4.992,TARGET_2,0.458805,0.358805,0.441782,0.365887
5.056,TARGET_1,-0.441265,-0.374683,-0.451650,-0.360825
5.056,TARGET_2,0.456995,0.356995,0.453427,0.347287
5.120,TARGET_1,-0.439256,-0.373097,-0.437733,-0.376373
5.120,TARGET_2,0.455185,0.355185,0.457662,0.352247
5.184,TARGET_1,-0.437247,-0.371511,-0.437230,-0.387222
5.184,TARGET_2,0.453374,0.353374,0.465656,0.358607
5.248,TARGET_1,-0.435237,-0.369924,-0.437712,-0.368520
5.248,TARGET_2,0.451564,0.351564,0.436468,0.368346
5.312,TARGET_1,-0.433228,-0.368338,-0.422589,-0.377602
5.312,TARGET_2,0.449754,0.349754,0.464777,0.349412
5.376,TARGET_1,-0.431219,-0.366752,-0.431626,-0.347412
5.376,TARGET_2,0.447944,0.347944,0.446163,0.344831
5.440,TARGET_1,-0.429210,-0.365165,-0.443266,-0.374564
5.440,TARGET_2,0.446134,0.346134,0.426252,0.330339
5.504,TARGET_1,-0.427200,-0.363579,-0.422491,-0.350720
5.504,TARGET_2,0.444323,0.344323,0.459908,0.341753
5.568,TARGET_1,-0.425191,-0.361993,-0.417994,-0.366120
5.568,TARGET_2,0.442513,0.342513,0.426764,0.333385
5.632,TARGET_1,-0.423182,-0.360407,-0.412381,-0.373939
5.632,TARGET_2,0.440703,0.340703,0.429343,0.328712
5.696,TARGET_1,-0.421172,-0.358820,-0.409182,-0.344273
5.696,TARGET_2,0.438893,0.338893,0.419987,0.324552
5.760,TARGET_1,-0.419163,-0.357234,-0.420399,-0.356483
5.760,TARGET_2,0.437083,0.337083,0.442877,0.350025
5.824,TARGET_1,-0.417154,-0.355648,-0.398366,-0.338626
5.824,TARGET_2,0.435272,0.335272,0.417376,0.341509
5.888,TARGET_1,-0.415144,-0.354061,-0.415638,-0.342784
5.888,TARGET_2,0.433462,0.333462,0.448958,0.314875
5.952,TARGET_1,-0.413135,-0.352475,-0.416692,-0.344963
5.952,TARGET_2,0.431652,0.331652,0.433946,0.336240
6.016,TARGET_1,-0.411126,-0.350889,-0.405161,-0.338382
6.016,TARGET_2,0.429842,0.329842,0.424358,0.332471
6.080,TARGET_1,-0.409117,-0.349303,-0.390376,-0.348851
6.080,TARGET_2,0.428032,0.328032,0.439051,0.322715
6.144,TARGET_1,-0.407107,-0.347716,-0.396957,-0.341019
6.144,TARGET_2,0.426221,0.326221,0.427461,0.312198
6.208,TARGET_1,-0.405098,-0.346130,-0.421182,-0.364229
6.208,TARGET_2,0.424411,0.324411,0.432168,0.309532
6.272,TARGET_1,-0.403089,-0.344544,-0.397922,-0.346732
6.272,TARGET_2,0.422601,0.322601,0.416535,0.308787
6.336,TARGET_1,-0.401079,-0.342957,-0.381873,-0.327005
6.336,TARGET_2,0.420791,0.320791,0.403677,0.337584
6.400,TARGET_1,-0.399070,-0.341371,-0.406820,-0.330947
6.400,TARGET_2,0.418981,0.318981,0.433016,0.332452
6.464,TARGET_1,-0.397061,-0.339785,-0.386705,-0.323651
6.464,TARGET_2,0.417170,0.317170,0.420645,0.302703
6.528,TARGET_1,-0.395051,-0.338198,-0.402252,-0.324574
6.528,TARGET_2,0.415360,0.315360,0.429792,0.304063
6.592,TARGET_1,-0.393042,-0.336612,-0.376873,-0.354790
6.592,TARGET_2,0.413550,0.313550,0.397601,0.323331
6.656,TARGET_1,-0.391033,-0.335026,-0.405631,-0.345105
6.656,TARGET_2,0.411740,0.311740,0.424485,0.315295
6.720,TARGET_1,-0.389024,-0.333440,-0.380993,-0.313795
6.720,TARGET_2,0.409930,0.309930,0.392322,0.293165
6.784,TARGET_1,-0.387014,-0.331853,-0.379140,-0.342694
6.784,TARGET_2,0.408120,0.308120,0.417724,0.313781
6.848,TARGET_1,-0.385005,-0.330267,-0.370564,-0.340385
6.848,TARGET_2,0.406309,0.306309,0.386617,0.298818
6.912,TARGET_1,-0.382996,-0.328681,-0.398714,-0.321265
6.912,TARGET_2,0.406907,0.303820,0.398842,0.292597
6.976,TARGET_1,-0.380986,-0.327094,-0.390444,-0.309210
6.976,TARGET_2,0.407505,0.301331,0.396917,0.301115
7.040,TARGET_1,-0.378977,-0.325508,-0.381998,-0.314601
7.040,TARGET_2,0.408103,0.298842,0.389343,0.306772
7.104,TARGET_1,-0.376968,-0.323922,-0.364308,-0.333458
7.104,TARGET_2,0.408701,0.296353,0.410611,0.286827
7.168,TARGET_1,-0.374958,-0.322336,-0.371320,-0.337436
7.168,TARGET_2,0.409299,0.293863,0.416176,0.313443
7.232,TARGET_1,-0.372949,-0.320749,-0.375130,-0.323432
7.232,TARGET_2,0.409897,0.291374,0.396278,0.277247
7.296,TARGET_1,-0.370940,-0.319163,-0.371659,-0.311547
7.296,TARGET_2,0.410495,0.288885,0.414834,0.275655
7.360,TARGET_1,-0.368931,-0.317577,-0.380638,-0.320159
7.360,TARGET_2,0.411093,0.286396,0.419652,0.287212
7.424,TARGET_1,-0.366921,-0.315990,-0.383618,-0.326857
7.424,TARGET_2,0.411691,0.283907,0.410233,0.293200
7.488,TARGET_1,-0.364912,-0.314404,-0.363794,-0.323977
7.488,TARGET_2,0.412289,0.281417,0.409396,0.267753
7.552,TARGET_1,-0.362903,-0.312818,-0.351381,-0.317515
7.552,TARGET_2,0.412887,0.278928,0.424986,0.277762
7.616,TARGET_1,-0.360893,-0.311232,-0.358258,-0.298125
7.616,TARGET_2,0.413485,0.276439,0.407897,0.273756
7.680,TARGET_1,-0.358884,-0.309645,-0.345697,-0.313003
7.680,TARGET_2,0.414083,0.273950,0.432690,0.293089
7.744,TARGET_1,-0.356875,-0.308059,-0.348855,-0.307348
